00012701,1.175,5.98,3,엔진실1,1
00012702,8.3625,1.88,3,엔지니어룸,1
00012703,6.225,2.96,3,화장실,1
00012704,6.2625,6.82,3,에어컨룸,1
00012705,6.475,6.78,4,샤워장,1
00012706,6.4625,3.54,4,세탁실,1
00012707,1.7625,1.88,4,숙소3,1
00012708,1.7,7.5,4,중앙홀,1
00012709,3.7875,6.56,4,조리실,1
00012765,7.175,2.48,1,점장실,1
00012775,7.2825,6.62,2,구조부장실,1
00012777,3.735,3.82,1,2층하향계단,1
00012778,2.375,1.24,1,구명정,1
00012779,2.44,5.08,2,병실,1
0001277A,5.9,7.42,1,숙소1,1
00012783,2.65,3,3,엔진실2,1
00012795,4.415,7.44,1,숙소2,1
00012796,4.35,2.28,1,기관장실,1
000127A2,3.7675,9.08,2,1층상향계단,1
000127A5,3.1625,6.62,1,사무실,1
000127A6,1.48,4.86,1,운항제어실,1